date,air_quality_pm2_5,air_quality_pm10,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_carbon_monoxide,air_quality_ammonia,air_quality_aerosol_optical_depth,air_quality_dust,air_quality_uv_index,day,hour,dayofweek,avg_pm
2025-10-23 19:00:00,45.5,49.0,48.0,12.5,10.0,516.0,,0.3,7.0,0.0,23,19,3,47.25
2025-10-23 19:00:00,47.1,50.9,48.0,12.7,8.6,591.0,,0.3,6.0,0.15,23,19,3,49.0
2025-10-23 19:00:00,45.8,49.0,55.0,12.0,7.4,620.0,,0.29,6.0,0.8,23,19,3,47.4
2025-10-23 19:00:00,43.5,47.5,77.0,9.5,6.5,561.0,,0.29,7.0,2.25,23,19,3,45.5
2025-10-23 19:00:00,41.2,46.3,106.0,6.2,5.6,456.0,,0.28,9.0,4.1,23,19,3,43.75
2025-10-23 19:00:00,34.7,40.0,128.0,3.5,4.9,369.0,,0.28,10.0,5.7,23,19,3,37.35
2025-10-23 19:00:00,27.2,32.9,138.0,2.1,4.2,319.0,,0.28,11.0,6.3,23,19,3,30.050001
2025-10-23 19:00:00,22.6,29.0,142.0,1.3,3.6,288.0,,0.27,13.0,5.7,23,19,3,25.8
2025-10-23 19:00:00,21.2,27.9,142.0,1.4,3.4,280.0,,0.26,13.0,4.2,23,19,3,24.55
2025-10-23 19:00:00,21.4,28.3,138.0,2.5,3.7,306.0,,0.26,12.0,2.3,23,19,3,24.849998
2025-10-23 19:00:00,22.3,28.9,131.0,4.4,4.5,356.0,,0.25,10.0,0.85,23,19,3,25.599998
2025-10-23 19:00:00,31.5,37.7,117.0,7.2,4.6,405.0,,0.28,12.0,0.15,23,19,3,34.6
2025-10-23 19:00:00,37.6,43.4,104.0,12.2,6.0,448.0,,0.29,12.0,0.0,23,19,3,40.5
2025-10-23 19:00:00,44.5,50.3,87.0,18.9,8.0,491.0,,0.29,12.0,0.0,23,19,3,47.4
2025-10-23 19:00:00,51.0,57.3,75.0,22.9,9.8,528.0,,0.29,12.0,0.0,23,19,3,54.15
2025-10-23 19:00:00,53.3,60.1,74.0,21.7,11.3,562.0,,0.29,13.0,0.0,23,19,3,56.699997
2025-10-23 19:00:00,51.9,59.1,79.0,17.8,12.6,590.0,,0.29,14.0,0.0,23,19,3,55.5
2025-10-23 19:00:00,50.2,58.0,82.0,14.4,13.2,597.0,,0.3,15.0,0.0,23,19,3,54.1
2025-10-23 19:00:00,48.7,56.8,81.0,12.6,12.6,565.0,,0.33,15.0,0.0,23,19,3,52.75
2025-10-23 19:00:00,48.4,56.3,78.0,11.3,11.3,512.0,,0.36,15.0,0.0,23,19,3,52.35
2025-10-23 19:00:00,48.5,56.8,76.0,10.0,10.2,472.0,,0.41,15.0,0.0,23,19,3,52.65
2025-10-23 19:00:00,49.0,58.0,77.0,8.4,9.6,450.0,,0.45,17.0,0.0,23,19,3,53.5
2025-10-23 19:00:00,49.0,59.0,79.0,6.9,9.2,442.0,,0.49,19.0,0.0,23,19,3,54.0
2025-10-23 19:00:00,52.5,62.4,69.0,8.7,9.5,466.0,,0.54,18.0,0.0,23,19,3,57.45
2025-10-23 19:00:00,51.3,61.7,69.0,9.1,9.3,564.0,,0.54,18.0,0.0,23,19,3,56.5
2025-10-23 19:00:00,53.0,63.8,70.0,9.4,9.1,695.0,,0.52,18.0,0.1,23,19,3,58.4
2025-10-23 19:00:00,54.1,63.3,75.0,9.1,8.8,755.0,,0.51,17.0,0.7,23,19,3,58.699997
2025-10-23 19:00:00,53.1,63.1,88.0,7.3,8.5,676.0,,0.5,16.0,1.95,23,19,3,58.1
2025-10-23 19:00:00,50.4,59.4,105.0,4.8,8.2,526.0,,0.49,14.0,3.6,23,19,3,54.9
2025-10-23 19:00:00,48.0,55.3,121.0,2.8,8.2,409.0,,0.5,14.0,5.0,23,19,3,51.65
2025-10-23 19:00:00,46.2,53.2,133.0,1.9,8.5,366.0,,0.5,16.0,5.55,23,19,3,49.7
2025-10-23 19:00:00,44.2,52.3,144.0,1.5,9.0,357.0,,0.51,18.0,4.95,23,19,3,48.25
2025-10-23 19:00:00,43.3,53.7,150.0,1.7,9.9,360.0,,0.5,20.0,3.6,23,19,3,48.5
2025-10-23 19:00:00,44.2,55.9,151.0,2.6,11.4,371.0,,0.49,19.0,2.0,23,19,3,50.050003
2025-10-23 19:00:00,46.2,57.5,149.0,4.1,13.3,395.0,,0.47,17.0,0.75,23,19,3,51.85
2025-10-23 19:00:00,54.8,65.9,133.0,6.3,12.6,425.0,,0.56,21.0,0.1,23,19,3,60.35
2025-10-23 19:00:00,58.8,68.0,123.0,8.8,14.3,462.0,,0.55,20.0,0.0,23,19,3,63.4
2025-10-23 19:00:00,62.9,71.7,110.0,12.3,16.7,507.0,,0.54,18.0,0.0,23,19,3,67.3
2025-10-23 19:00:00,65.7,74.5,101.0,14.2,18.8,552.0,,0.53,17.0,0.0,23,19,3,70.1
2025-10-23 19:00:00,66.4,75.7,99.0,13.4,20.4,607.0,,0.52,17.0,0.0,23,19,3,71.05
2025-10-23 19:00:00,66.4,75.7,100.0,11.0,21.6,662.0,,0.5,17.0,0.0,23,19,3,71.05
2025-10-23 19:00:00,65.7,75.0,102.0,8.9,21.9,688.0,,0.49,17.0,0.0,23,19,3,70.35
2025-10-23 19:00:00,64.7,73.3,103.0,7.4,20.8,657.0,,0.48,16.0,0.0,23,19,3,69.0
2025-10-23 19:00:00,64.5,72.4,103.0,6.1,18.7,597.0,,0.48,15.0,0.0,23,19,3,68.45
2025-10-23 19:00:00,65.0,72.4,103.0,5.2,16.9,558.0,,0.49,14.0,0.0,23,19,3,68.7
2025-10-23 19:00:00,65.7,72.6,101.0,4.6,15.6,561.0,,0.52,13.0,0.0,23,19,3,69.149994
2025-10-23 19:00:00,66.4,72.9,99.0,4.4,14.5,585.0,,0.52,13.0,0.0,23,19,3,69.65
2025-10-23 19:00:00,67.1,73.8,93.0,4.9,13.6,622.0,,0.52,12.0,0.0,23,19,3,70.45
2025-10-23 19:00:00,68.2,74.7,88.0,6.6,13.3,693.0,,0.51,11.0,0.0,23,19,3,71.45
2025-10-23 19:00:00,71.7,78.0,81.0,8.9,12.8,777.0,,0.51,10.0,0.1,23,19,3,74.85
2025-10-23 19:00:00,72.4,78.0,81.0,9.8,12.2,798.0,,0.5,10.0,0.7,23,19,3,75.2
2025-10-23 19:00:00,70.8,77.5,93.0,8.2,11.2,697.0,,0.49,10.0,2.0,23,19,3,74.15
2025-10-23 19:00:00,63.8,71.7,111.0,5.2,10.1,532.0,,0.48,11.0,3.7,23,19,3,67.75
2025-10-23 19:00:00,53.3,60.1,126.0,2.9,9.2,407.0,,0.48,13.0,5.1,23,19,3,56.699997
2025-10-23 19:00:00,45.8,56.2,133.0,1.7,8.7,363.0,,0.48,19.0,5.65,23,19,3,51.0
2025-10-23 19:00:00,44.4,60.8,137.0,1.2,8.4,358.0,,0.47,27.0,5.1,23,19,3,52.6
2025-10-23 19:00:00,43.2,59.5,137.0,1.3,8.3,365.0,,0.45,31.0,3.75,23,19,3,51.35
2025-10-23 19:00:00,41.7,56.6,132.0,2.2,8.1,368.0,,0.43,29.0,2.05,23,19,3,49.15
2025-10-23 19:00:00,41.3,54.8,124.0,3.8,8.1,381.0,,0.4,23.0,0.75,23,19,3,48.05
2025-10-23 19:00:00,46.0,57.2,106.0,6.2,6.6,426.0,,0.4,21.0,0.1,23,19,3,51.6
2025-10-23 19:00:00,50.1,59.4,97.0,9.2,7.5,538.0,,0.36,20.0,0.0,23,19,3,54.75
2025-10-23 19:00:00,53.3,61.9,83.0,13.3,8.8,680.0,,0.32,18.0,0.0,23,19,3,57.6
2025-10-23 19:00:00,54.9,63.3,73.0,16.1,10.0,762.0,,0.29,16.0,0.0,23,19,3,59.1
2025-10-23 19:00:00,54.7,62.9,68.0,16.4,11.1,725.0,,0.27,15.0,0.0,23,19,3,58.800003
2025-10-23 19:00:00,54.4,62.6,67.0,15.5,12.1,628.0,,0.26,15.0,0.0,23,19,3,58.5
2025-10-23 19:00:00,53.4,61.7,65.0,14.3,12.8,555.0,,0.25,15.0,0.0,23,19,3,57.550003
2025-10-23 19:00:00,50.6,58.9,63.0,13.2,12.9,541.0,,0.26,15.0,0.0,23,19,3,54.75
2025-10-23 19:00:00,48.9,57.0,61.0,11.8,12.6,552.0,,0.27,15.0,0.0,23,19,3,52.95
2025-10-23 19:00:00,48.5,56.6,59.0,10.7,12.1,569.0,,0.29,15.0,0.0,23,19,3,52.55
2025-10-23 19:00:00,48.7,56.7,57.0,9.8,11.4,589.0,,0.31,15.0,0.0,23,19,3,52.7
2025-10-23 19:00:00,48.9,56.9,55.0,9.0,10.5,616.0,,0.33,15.0,0.0,23,19,3,52.9
2025-10-23 19:00:00,50.8,58.9,54.0,9.8,12.3,644.0,,0.31,15.0,0.0,23,19,3,54.85
2025-10-23 19:00:00,50.8,58.6,51.0,11.1,12.0,690.0,,0.33,14.0,0.0,23,19,3,54.699997
2025-10-23 19:00:00,54.7,62.6,48.0,12.7,11.6,737.0,,0.34,12.0,0.1,23,19,3,58.65
2025-10-23 19:00:00,54.7,61.2,53.0,12.9,11.5,731.0,,0.35,12.0,0.75,23,19,3,57.95
2025-10-23 19:00:00,50.8,58.1,74.0,10.3,12.2,623.0,,0.35,16.0,2.1,23,19,3,54.449997
2025-10-23 19:00:00,48.1,58.4,102.0,6.3,13.3,462.0,,0.35,22.0,3.9,23,19,3,53.25
2025-10-23 19:00:00,40.7,54.2,124.0,3.1,13.7,338.0,,0.35,26.0,5.35,23,19,3,47.45
2025-10-23 19:00:00,31.8,47.3,132.0,1.6,12.8,288.0,,0.35,28.0,5.95,23,19,3,39.55
2025-10-23 19:00:00,30.0,45.3,133.0,1.1,11.4,275.0,,0.35,29.0,5.4,23,19,3,37.65
2025-10-23 19:00:00,30.9,45.3,131.0,1.3,10.5,276.0,,0.36,28.0,3.9,23,19,3,38.1
2025-10-23 19:00:00,32.2,45.8,128.0,2.3,10.7,282.0,,0.35,25.0,2.15,23,19,3,39.0
2025-10-23 19:00:00,33.8,46.1,121.0,4.0,11.5,301.0,,0.35,20.0,0.8,23,19,3,39.949997
2025-10-23 19:00:00,36.8,45.6,113.0,6.6,12.4,335.0,,0.35,17.0,0.1,23,19,3,41.199997
