date,aqi_mean,pm2_5_mean,pm10_mean,ozone_mean,carbon_monoxide_mean,nitrogen_dioxide_mean,sulphur_dioxide_mean,temperature_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,precipitation_mean
2024-05-15,66.48132749165475,19.658333333333335,48.87916666666666,89.79166666666667,292.0833333333333,9.924999999999999,3.9875000000000003,38.28333333333333,16.875,1006.25,12.279166666666667,0.0
2024-05-16,58.52114628040058,16.395833333333332,45.354166666666664,90.25,278.2083333333333,9.529166666666667,3.8208333333333333,38.708333333333336,14.875,1006.0833333333334,14.6625,0.0
2024-05-17,63.269998807820706,17.958333333333332,55.37916666666666,93.125,277.5416666666667,9.225,5.066666666666666,39.49583333333333,13.458333333333334,1003.7166666666667,14.120833333333332,0.0
2024-05-18,83.2275419588267,28.2,104.10833333333333,98.95833333333333,240.625,6.941666666666666,4.5375000000000005,39.09583333333333,16.708333333333332,1001.8208333333333,13.933333333333332,0.0
2024-05-19,99.85187921007038,34.458333333333336,97.77499999999999,87.66666666666667,336.7916666666667,13.820833333333333,2.2875,38.53333333333333,18.208333333333332,1000.1875,12.266666666666666,0.0
2024-05-20,78.22201943192357,24.7625,80.55833333333334,80.83333333333333,353.7916666666667,14.158333333333333,3.3375,36.72083333333333,25.958333333333332,999.5875,9.583333333333334,0.0
2024-05-21,103.61579900297447,36.300000000000004,109.80416666666667,82.0,440.125,19.4875,3.279166666666667,38.824999999999996,15.458333333333334,1000.1666666666666,9.616666666666667,0.0
2024-05-22,104.42409022940166,36.579166666666666,110.46666666666665,79.66666666666667,516.25,22.84166666666667,3.5375,39.012499999999996,14.333333333333334,999.3458333333333,6.166666666666667,0.0
2024-05-23,100.70933170861461,34.775,92.27499999999999,78.20833333333333,511.875,23.791666666666668,4.058333333333334,39.72083333333333,15.291666666666666,997.7083333333334,8.708333333333334,0.0
2024-05-24,101.0536354878829,34.916666666666664,91.57083333333333,76.41666666666667,504.7083333333333,21.645833333333332,4.1625000000000005,40.324999999999996,15.708333333333334,996.9250000000001,8.25,0.0
2024-05-25,100.48333495086304,34.97083333333333,76.82083333333334,93.125,514.3333333333334,20.325,5.125,40.329166666666666,16.083333333333332,997.8458333333333,8.595833333333333,0.0
2024-05-26,96.87732564826996,33.40416666666667,91.1875,94.83333333333333,438.0,16.095833333333335,4.679166666666666,41.59166666666667,13.666666666666666,997.2416666666667,10.25,0.0
2024-05-27,83.31802970503448,27.116666666666664,78.02916666666667,94.75,340.9166666666667,13.700000000000001,2.245833333333333,42.329166666666666,9.041666666666666,995.5749999999999,17.708333333333332,0.0
2024-05-28,70.31025470401603,21.679166666666664,69.50833333333334,96.75,316.5416666666667,12.5375,1.8291666666666666,42.295833333333334,7.458333333333333,993.5208333333334,14.804166666666667,0.0
2024-05-29,61.006715444173665,18.195833333333333,47.5625,94.66666666666667,361.0416666666667,15.720833333333333,1.7791666666666668,41.15416666666667,5.416666666666667,993.5791666666668,13.1625,0.0
2024-05-30,74.83661452230155,23.620833333333334,69.72083333333333,97.875,456.125,19.087500000000002,2.370833333333333,39.625,7.041666666666667,996.3874999999999,9.991666666666667,0.0
2024-05-31,75.84421196948021,23.9375,74.44166666666666,93.54166666666667,293.875,10.841666666666667,4.05,38.77916666666667,28.583333333333332,997.6791666666667,11.975,0.0
